date,text,verdict
March 4 2012,"Says ""we had to cut 13 billion dollars in state spending over two years.""",4
February 27 2012,"""(President Barack Obama) said unemployment was never gonna go over 8 percent if we passed the stimulus plan.""",3
February 27 2012,"Says private-sector job growth in 2011 ""places New Jersey in the top third among all of the states.""",2
February 26 2012,"""New Jersey has the second highest rate of institutionalization"" of people with developmental disabilities ""in America. Only Texas puts more of its citizens -- confines more of its citizens -- to institutions than New Jersey. """,1
February 12 2012,"""Here's something that people never talk about with coach Schiano: Rutgers had the best graduation rate of any Division I football program in America.""",4
January 29 2012,"Says the New York Giants ""train in New Jersey, they play in New Jersey and most of their players live in New Jersey.""",0
January 17 2012,"Says ""we’ve accomplished balancing two budgets without raising taxes. We’ve now created 60,000 new private-sector jobs. We’ve made government smaller.""",2
January 5 2012,"Says ""kids who start in the ninth grade in the city of Newark this past September, 23 percent of them will graduate in four years.""",5
January 3 2012,"""By the way, I'm not raising tolls 50 percent....Jon Corzine did.""",0
December 29 2011,"""And, as of today, New Jersey state government has less employees than when Christie Whitman left office in 2001.""",0
December 12 2011,"""They say teachers only make on average in New Jersey 60,000 dollars a year. They only work 180 days.""",1
December 4 2011,"Says Barack Obama had ""huge majorities"" in Congress during his first two years in office and ""did nothing with them to create jobs in America.""",5
December 1 2011,"Says ""out of 588 school districts, we give 31 (former Abbott) districts 70 percent of the aid.""",1
November 17 2011,"Says 23 percent of ninth graders in Newark will graduate with a high school diploma in four years and ""we spend $100,000 on their education in those four years, more than is spent on any other set of students in the United States.""",3
November 6 2011,"Says ""over the last 48 years, every governor at the midterm of his first term or her first term has lost seats in the Legislature, with the exception of Jim McGreevey in 2003.""",0
October 27 2011,"Says judges ""get better benefits at a lower cost than everybody else in the state.""",0
October 23 2011,"Says the national heath care reform is ""a government takeover of health care.""",5
October 21 2011,"Says ""these ‘Jersey Shore’ folks, they’re from New York.""",2
October 13 2011,"Says ""any attempt to try to compare"" the Massachusetts health care law with the federal health care law is ""completely, intellectually dishonest. Governor Romney did not raise one tax in doing what he did.""",3
October 4 2011,"Says ""New Jersey's unemployment is significantly lower than it was when I got here. And we've created 50,000 new private sector jobs in the last 20 months after having lost 117,000 in the year before I got here.""",2
October 4 2011,On running for the presidency in 2012,0
October 2 2011,"Says his administration balanced ""two budgets with over $13 billion in deficits without raising taxes.""",2
September 29 2011,"Says President Barack Obama failed ""to stand up for the bipartisan debt solutions of the Simpson-Bowles Commission.""",3
September 25 2011,"""The water quality in the ocean is perfect. It’s been tested up and down every ocean shore in New Jersey.""",1
August 21 2011,"""Since I introduced my budget -- first budget -- in March of 2010, we've created 50,000 new private-sector jobs for the people of this state.""",2
August 4 2011,Says Democrats cut $35 million from the state budget for Information Technology improvements.,4
July 24 2011,"Says the state budget ""doubled property tax credits for seniors and middle class New Jerseyans"" and had ""no tax increases for any New Jersey family for the second year in a row.""",2
July 7 2011,Says car insurance rates have decreased since about a decade ago because of market-based solutions that attracted more auto insurers to New Jersey.,0
July 5 2011,"""Only the State of New York spends more money on Medicaid than the State of New Jersey.""",4
June 21 2011,"""When the union says I want to eliminate tenure, that’s not true.""",2
June 17 2011,"Democratic tax hikes led $70 billion of wealth to leave New Jersey between 2004 and 2008, and mainly relocate to Florida, North Carolina, Virginia and Pennsylvania.",3
June 15 2011,"""For a young man or woman who is entering the ninth grade in Newark this year, they have a 29 percent graduation rate.""",4
June 10 2011,"Out of 150,000 tenured teachers in the last 10 years, only 17 have been dismissed for incompetence.",1
